,title,year,kind,rating,vote,runtime
408,C'est la vie!,2017,movie,6.9,10166.0,117
409,Stargate: Atlantis,2004,tv series,8.1,63182.0,44
410,Return to a Better Tomorrow,1994,movie,5.9,296.0,103
411,Tupac: Resurrection,2003,movie,7.9,9346.0,112
412,"Niagara: Miracles, Myths and Magic",1986,movie,5.5,147.0,41
413,Cirque du Soleil: Baroque Odyssey,1994,video movie,6.2,41.0,56
414,Incident at Oglala,1992,movie,7.5,1135.0,89
415,"BTS: ""It's All In The Family"" Song",2019,episode,,,0
416,Mansfield Park,1999,movie,7.1,23026.0,112
417,La Ciénaga,2001,movie,7.1,6262.0,103
418,If We Had No Moon,1999,tv movie,7.4,116.0,60
419,Enduring Love,2004,movie,6.3,10247.0,100
420,Shania Twain: The Platinum Collection,2001,video movie,6.7,23.0,81
421,La séparation,1994,movie,6.9,1079.0,88
422,Stoked: The Rise and Fall of Gator,2002,movie,7.2,1086.0,82
423,Dragon Ball: The Magic Begins,1991,movie,4.2,1143.0,86
424,Invitation to Hell,1984,tv movie,5.1,1531.0,96
425,Devil in the Flesh 2,2000,movie,4.6,1381.0,92
426,Sports Illustrated: Swimsuit 2006,2006,movie,7.6,38.0,60
427,Rush in Rio,2003,video movie,8.8,803.0,171
428,LOL (Laughing Out Loud) ®,2008,movie,6.3,8595.0,103
429,Elvis by the Presleys,2005,tv movie,8.0,307.0,90
430,My Dream Girl,2003,movie,4.8,306.0,91
431,The Promise,2016,movie,6.0,174654.0,133
432,The Jewel in the Crown,1984,tv mini series,8.3,2066.0,778
433,Seven Samurai,1954,movie,8.6,328689.0,207
434,Elvis Costello and the Imposters: Live in Memphis,2005,video movie,8.1,54.0,165
435,Zakhm,1998,movie,7.9,3101.0,125
436,Super GALS!,2001,tv series,7.6,104.0,25
437,A Love Divided,1999,movie,6.9,350.0,98
438,Wonder Woman 1984 anti-Trump FLOP! International release is a complete FAILURE!,2020,episode,,,0
439,Sharpe's Enemy,1994,episode,7.9,2648.0,90
440,The Mating Habits of the Earthbound Human,1999,movie,6.4,6232.0,88
441,Gloria Estefan: The Evolution Tour,1996,movie,7.8,39.0,116
442,Cup Final,1991,movie,6.8,198.0,105
443,The Maldonado Miracle,2003,tv movie,6.6,459.0,99
444,Discovering Australia: The Golden West,1995,movie,,,60
445,"Black Label Society: Boozed, Broozed & Broken-Boned",2003,video movie,8.7,87.0,120
446,A Guest Bedroom Is Transformed in Classic Clubroom Style,2009,episode,,,0
447,Dersu Uzala,1975,movie,8.3,25171.0,142
448,Bride And Prejudice,2018,tv mini series,,,0
449,Eat Drink Man Woman,1994,movie,7.8,19853.0,124
450,Diary of a Country Priest,1951,movie,7.9,10756.0,115
451,Fascination,1979,movie,6.0,2738.0,80
452,Gargoyles,1994,tv series,8.1,15366.0,30
453,Too Young to Die?,1990,tv movie,5.9,3828.0,92
454,Angelina Ballerina: Friends Forever,2002,video movie,6.4,9.0,52
455,RoadMovie,1996,video movie,7.9,239.0,90
